Text,Text-MM,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 Just published a new blog post. Check it out!      ,ဘလော့ဂ်ပို့စ်အသစ်တစ်ခု ခုပဲတင်လိုက်တယ်။ ဝင်ကြည့်လိုက်ပါဦး။,Positive,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15
 Feeling a bit under the weather today.             ,ဒီနေ့ နည်းနည်းနေလို့မကောင်းဘူး။,Negative,2023-01-18 10:30:00, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10
 Exploring the city's hidden gems.                  ,မြို့ရဲ့ လျှို့ဝှက်နေရာလေးတွေကို စူးစမ်းရှာဖွေနေပါတယ်။,Positive,2023-01-18 14:50:00, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14
" New year, new fitness goals! 💪                    ",နှစ်သစ်၊ ကျန်းမာရေးပန်းတိုင်အသစ်! 💪,Positive,2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18
 Technology is changing the way we live.            ,နည်းပညာက ကျွန်တော်တို့ရဲ့ နေထိုင်မှုပုံစံကို ပြောင်းလဲနေပါတယ်။,Neutral,2023-01-19 09:45:00, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9
 Reflecting on the past and looking ahead.          ,အတိတ်ကို ပြန်လည်သုံးသပ်ပြီး အနာဂတ်ကို မျှော်ကြည့်နေပါတယ်။,Positive,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13
 Just adopted a cute furry friend! 🐾              ,ချစ်စရာကောင်းတဲ့ အမွှေးပွသူငယ်ချင်းလေးတစ်ကောင် ခုပဲမွေးစားလိုက်ပြီ! 🐾,Positive,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17
 Late-night gaming session with friends.            ,သူငယ်ချင်းတွေနဲ့ ညဉ့်နက် ဂိမ်းကစားပွဲ။,Positive,2023-01-20 00:05:00, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0
 Attending a virtual conference on AI.              ,AI ဆိုင်ရာ virtual conference တစ်ခု တက်ရောက်နေပါတယ်။,Neutral,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11
 Winter blues got me feeling low.                   ,ဆောင်းရာသီရဲ့ စိတ်ဓာတ်ကျမှုတွေက ကျွန်တော့်ကို စိတ်ဓာတ်ကျစေတယ်။,Negative,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15
 Sipping coffee and enjoying a good book.           ,ကော်ဖီသောက်ရင်း စာအုပ်ကောင်းတစ်အုပ် ဖတ်ရှုခံစားနေပါတယ်။,Positive,2023-01-21 08:40:00, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8
 Exploring the world of virtual reality.            ,Virtual reality လောကကို စူးစမ်းရှာဖွေနေပါတယ်။,Positive,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13
 Productive day ticking off my to-do list.          ,လုပ်စရာစာရင်းထဲက အလုပ်တွေကို တစ်ခုပြီးတစ်ခု အမှန်ခြစ်ပြီး အကျိုးရှိတဲ့နေ့တစ်နေ့။,Positive,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16
 Just finished a challenging workout routine.       ,စိန်ခေါ်မှုရှိတဲ့ လေ့ကျင့်ခန်းတစ်ခု ခုပဲပြီးသွားပြီ။,Positive,2023-01-22 09:15:00, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9
 Celebrating a milestone at work! 🎉               ,အလုပ်မှာ အရေးပါတဲ့ မှတ်တိုင်တစ်ခုကို အောင်ပွဲခံနေပါတယ်! 🎉,Positive,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14
 Sunday brunch with friends.                        ,သူငယ်ချင်းတွေနဲ့ တနင်္ဂနွေနေ့လည်စာ။,Positive,2023-01-22 12:00:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12
 Learning a new language for personal growth.       ,ကိုယ်ပိုင်တိုးတက်မှုအတွက် ဘာသာစကားအသစ်တစ်ခု လေ့လာနေပါတယ်။,Positive,2023-01-23 16:20:00, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16
 Quiet evening with a good book.                    ,စာအုပ်ကောင်းတစ်အုပ်နဲ့ တိတ်ဆိတ်ငြိမ်သက်တဲ့ ညနေခင်း။,Positive,2023-01-23 19:45:00, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19
 Reflecting on the importance of mental health.     ,စိတ်ကျန်းမာရေးရဲ့ အရေးပါပုံကို ပြန်လည်သုံးသပ်နေပါတယ်။,Positive,2023-01-24 11:30:00, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11
 New painting in progress! 🎨                       ,ပန်းချီကားအသစ်တစ်ခု ရေးဆွဲနေဆဲ! 🎨,Positive,2023-01-24 15:00:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15
 Weekend road trip to explore scenic views.         ,ရှုခင်းလှတဲ့နေရာတွေကို စူးစမ်းဖို့ စနေ၊ တနင်္ဂနွေ ကားနဲ့ခရီးထွက်ခြင်း။,Positive,2023-01-24 17:30:00, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17
 Enjoying a cup of tea and watching the sunset.     ,လက်ဖက်ရည်တစ်ခွက်သောက်ရင်း နေဝင်ချိန်ကို ကြည့်ရှုခံစားနေပါတယ်။,Positive,2023-01-25 18:00:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18
 Coding a new project with enthusiasm.              ,စိတ်အားထက်သန်စွာနဲ့ ပရောဂျက်အသစ်တစ်ခုကို coding ရေးနေပါတယ်။,Positive,2023-01-25 13:15:00, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13
 Feeling inspired after attending a workshop.       ,Workshop တစ်ခု တက်ရောက်ပြီးနောက် စိတ်အားတက်ကြွမှု ခံစားရပါတယ်။,Positive,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9
 Winter sports day at the local park.               ,ဒေသခံပန်းခြံမှာ ဆောင်းရာသီ အားကစားနေ့။,Positive,2023-01-26 14:20:00, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14
 Quality time with family this weekend.             ,ဒီစနေ၊ တနင်္ဂနွေ မိသားစုနဲ့အတူ အရည်အသွေးရှိတဲ့အချိန် ဖြတ်သန်းခြင်း။,Positive,2023-01-26 17:40:00, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17
 Attending a live music concert tonight.            ,ဒီည တိုက်ရိုက်ဂီတဖျော်ဖြေပွဲတစ်ခု တက်ရောက်မှာပါ။,Positive,2023-01-27 20:00:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20
 Practicing mindfulness with meditation.            ,တရားထိုင်ခြင်းနဲ့အတူ သတိပဋ္ဌာန် ကျင့်ကြံနေပါတယ်။,Positive,2023-01-27 12:30:00, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12
 Trying out a new dessert recipe.                   ,အချိုပွဲချက်နည်းအသစ်တစ်ခု စမ်းသပ်လုပ်ကိုင်နေပါတယ်။,Positive,2023-01-27 16:10:00, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16
 Excited about the upcoming gaming tournament.      ,လာမယ့် ဂိမ်းပြိုင်ပွဲအတွက် စိတ်လှုပ်ရှားနေပါတယ်။,Positive,2023-01-28 09:00:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9
 Planning a garden makeover for spring.             ,နွေဦးရာသီအတွက် ဥယျာဉ်ကို ပြုပြင်မွမ်းမံဖို့ စီစဉ်နေပါတယ်။,Positive,2023-01-28 14:45:00, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14
 Celebrating a friend's birthday tonight! 🎂       ,ဒီည သူငယ်ချင်းတစ်ယောက်ရဲ့ မွေးနေ့ကို ဂုဏ်ပြုကျင်းပနေပါတယ်! 🎂,Positive,2023-01-28 19:30:00, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19
 Feeling accomplished after a productive day.       ,အကျိုးရှိတဲ့နေ့တစ်နေ့ပြီးနောက် အောင်မြင်မှုခံစားရပါတယ်။,Positive,2023-01-29 17:00:00, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17
 A cozy evening with a good movie.                 ,ရုပ်ရှင်ကောင်းတစ်ကားနဲ့ နွေးထွေးတဲ့ ညနေခင်း။,Positive,2023-01-29 20:20:00, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20
 Exploring local art galleries this weekend.        ,ဒီစနေ၊ တနင်္ဂနွေ ဒေသခံအနုပညာပြခန်းတွေကို စူးစမ်းရှာဖွေနေပါတယ်။,Positive,2023-01-30 11:30:00, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11
 New book release from my favorite author!          ,ကျွန်တော့်အကြိုက်ဆုံး စာရေးဆရာဆီက စာအုပ်အသစ်ထွက်ရှိခြင်း!,Positive,2023-01-30 15:45:00, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15
 Attending a virtual reality meetup.                ,Virtual reality တွေ့ဆုံပွဲတစ်ခု တက်ရောက်နေပါတယ်။,Positive,2023-01-30 18:30:00, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18
 Reflecting on the beauty of nature.                ,သဘာဝတရားရဲ့ အလှတရားကို ပြန်လည်သုံးသပ်နေပါတယ်။,Positive,2023-01-31 10:45:00, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10
 Cooking a special dinner for loved ones.           ,ချစ်ခင်ရသူတွေအတွက် အထူးညစာတစ်နပ် ချက်ပြုတ်နေပါတယ်။,Positive,2023-01-31 19:00:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19
 Feeling optimistic about the week ahead.           ,လာမယ့်အပတ်အတွက် အကောင်းမြင်စိတ် ခံစားရပါတယ်။,Positive,2023-01-31 16:20:00, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16
 Starting a new fitness challenge tomorrow! 💪     ,မနက်ဖြန် ကျန်းမာရေးစိန်ခေါ်မှုအသစ်တစ်ခု စတင်တော့မယ်! 💪,Positive,2023-02-01 08:00:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8
 Sunday bike ride through scenic trails.           ,ရှုခင်းသာယာတဲ့လမ်းတွေတစ်လျှောက် တနင်္ဂနွေနေ့ စက်ဘီးစီးခြင်း။,Positive,2023-02-01 13:30:00, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13
 Can't believe the injustice happening in our society.,ကျွန်တော်တို့ လူ့အဖွဲ့အစည်းမှာ ဖြစ်ပျက်နေတဲ့ မတရားမှုတွေကို မယုံနိုင်ဘူး။,Negative,2023-02-11 09:30:00, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9
 Feeling a sense of fear after watching a thriller movie. ,သည်းထိတ်ရင်ဖိုရုပ်ရှင်တစ်ကား ကြည့်ပြီးနောက် ကြောက်ရွံ့မှု ခံစားရပါတယ်။,Negative,2023-02-11 21:15:00, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21
 Heartbroken after hearing the news about a natural disaster. ,သဘာဝဘေးအန္တရာယ် သတင်းကြားပြီးနောက် ရင်ကွဲပက်လက်ဖြစ်ရပါတယ်။,Negative,2023-02-12 14:45:00, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14
 The state of the world's environment is just disgusting. ,ကမ္ဘာ့ပတ်ဝန်းကျင် အခြေအနေက တကယ်ကို စက်ဆုပ်စရာကောင်းတယ်။,Negative,2023-02-12 18:20:00, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18
 Pure happiness: celebrating a loved one's achievement! ,စစ်မှန်တဲ့ ပျော်ရွှင်မှု - ချစ်ခင်ရသူတစ်ယောက်ရဲ့ အောင်မြင်မှုကို ဂုဏ်ပြုခြင်း!,Positive,2023-02-13 10:00:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10
 Laughter is the best medicine—enjoying a comedy show. ,ရယ်မောခြင်းက အကောင်းဆုံးဆေးပါပဲ—ဟာသပြပွဲတစ်ခုကို ကြည့်ရှုခံစားနေပါတယ်။,Positive,2023-02-13 19:30:00, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19
 Sharing love and positive vibes with everyone! ❤️      ,လူတိုင်းနဲ့အတူ အချစ်နဲ့ အကောင်းမြင်စိတ်ဓာတ်တွေကို မျှဝေနေပါတယ်! ❤️,Positive,2023-02-14 08:30:00, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8
 An amusing incident brightened up my day!               ,ရယ်စရာကောင်းတဲ့ အဖြစ်အပျက်တစ်ခုက ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တယ်။,Positive,2023-02-14 14:20:00, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14
 Enjoying a quiet evening with a book and some tea.      ,စာအုပ်တစ်အုပ်နဲ့ လက်ဖက်ရည်သောက်ရင်း တိတ်ဆိတ်ငြိမ်သက်တဲ့ ညနေခင်းကို ခံစားနေပါတယ်။,Positive,2023-02-14 19:45:00, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19
 Admiring the beauty of nature during a peaceful hike.   ,ငြိမ်းချမ်းတဲ့ တောင်တက်ခရီးတစ်ခုအတွင်း သဘာဝတရားရဲ့ အလှကို တန်ဖိုးထားလေးစားနေပါတယ်။,Positive,2023-02-15 11:30:00, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11
 Sending affectionate vibes to all my followers!          ,ကျွန်တော့် follower အားလုံးဆီသို့ ချစ်ခင်ကြင်နာတဲ့ ခံစားချက်တွေ ပို့သလိုက်ပါတယ်။,Positive,2023-02-15 16:00:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16
 Experiencing awe at the breathtaking sunset.            ,ရင်သပ်ရှုမောဖွယ် နေဝင်ချိန်ကို အံ့သြတကြီး ခံစားနေရပါတယ်။,Positive,2023-02-15 20:30:00, AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20
 Disappointed with the service at a local restaurant.    ,ဒေသခံ စားသောက်ဆိုင်တစ်ခုက ဝန်ဆောင်မှုကို စိတ်ပျက်မိပါတယ်။,Negative,2023-02-16 09:00:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9
 A surprise gift from a friend made my day!              ,သူငယ်ချင်းတစ်ယောက်ဆီက အံ့အားသင့်ဖွယ် လက်ဆောင်တစ်ခုက ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တယ်။,Positive,2023-02-16 14:45:00, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14
 Finding acceptance in the midst of life's challenges.   ,ဘဝရဲ့ စိန်ခေါ်မှုတွေကြားထဲမှာ လက်ခံမှုကို ရှာဖွေတွေ့ရှိခြင်း။,Positive,2023-02-16 18:20:00, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18
 Overflowing with adoration for my adorable pet! 🐾      ,ကျွန်တော့်ရဲ့ ချစ်စရာကောင်းတဲ့ အိမ်မွေးတိရစ္ဆာန်လေးအတွက် အလွန်အမင်း ချစ်ခင်မြတ်နိုးမှုတွေ ပြည့်လျှံနေပါတယ်! 🐾,Positive,2023-02-17 10:45:00, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10
 Anticipating a thrilling adventure in the coming weeks. ,လာမယ့်ရက်သတ္တပတ်တွေအတွင်း စိတ်လှုပ်ရှားစရာကောင်းတဲ့ စွန့်စားခန်းတစ်ခုကို မျှော်လင့်နေပါတယ်။,Positive,2023-02-17 07:30:00, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7
 A bitter experience turned into a valuable lesson.      ,ခါးသီးတဲ့ အတွေ့အကြုံတစ်ခုက တန်ဖိုးရှိတဲ့ သင်ခန်းစာတစ်ခု ဖြစ်သွားခဲ့တယ်။,Negative,2023-02-17 15:00:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15
 Finding calmness in the midst of a busy day.            ,အလုပ်များတဲ့နေ့တစ်နေ့ရဲ့ အလယ်မှာ တည်ငြိမ်မှုကို ရှာဖွေတွေ့ရှိခြင်း။,Positive,2023-02-18 09:30:00, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9
 Confusion clouds my mind as I navigate through decisions.,ဆုံးဖြတ်ချက်တွေ ချမှတ်ရာမှာ ရှုပ်ထွေးမှုတွေက ကျွန်တော့်စိတ်ကို လွှမ်းခြုံနေတယ်။,Negative,2023-02-18 14:20:00, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14
 Excitement building up for the upcoming vacation!       ,လာမယ့် အားလပ်ရက်အတွက် စိတ်လှုပ်ရှားမှုတွေ တိုးပွားလာနေပါတယ်။,Positive,2023-02-18 18:45:00, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18
 Kindness witnessed today restored my faith in humanity. ,ဒီနေ့ တွေ့မြင်ခဲ့ရတဲ့ ကြင်နာမှုက လူသားမျိုးနွယ်အပေါ် ကျွန်တော့်ရဲ့ ယုံကြည်မှုကို ပြန်လည်တည်ဆောက်ပေးခဲ့တယ်။,Positive,2023-02-19 11:30:00, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11
 Pride in achieving a personal milestone.               ,ကိုယ်ပိုင်မှတ်တိုင်တစ်ခုကို အောင်မြင်မှုအတွက် ဂုဏ်ယူခြင်း။,Positive,2023-02-19 16:00:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30.0,60.0, Australia    ,2023,2,19,16
 A moment of shame for not standing up against injustice. ,မတရားမှုကို ဆန့်ကျင်မရပ်တည်ခဲ့မိတဲ့အတွက် ရှက်ရွံ့မိတဲ့အခိုက်အတန့်။,Negative,2023-02-19 19:45:00, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15.0,30.0, India      ,2023,2,19,19
 Fuming with anger after a heated argument.            ,ပြင်းထန်တဲ့ ငြင်းခုံမှုတစ်ခုပြီးနောက် ဒေါသတွေ ပေါက်ကွဲနေပါတယ်။,Negative,2023-02-20 09:30:00, AngryDebater    , Twitter  , #Anger #Argument                             ,20.0,40.0, Canada     ,2023,2,20,9
 The fear of the unknown is keeping me up at night.    ,မသိသေးတဲ့အရာတွေအပေါ် ကြောက်ရွံ့မှုက ကျွန်တော့်ကို ညဘက် အိပ်မပျော်စေဘူး။,Negative,2023-02-20 21:15:00, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15.0,30.0, USA          ,2023,2,20,21
 Heartfelt sadness after bidding farewell to a dear friend. ,ချစ်ခင်ရတဲ့ သူငယ်ချင်းတစ်ယောက်ကို နှုတ်ဆက်ခွဲခွာပြီးနောက် ရင်ထဲက ဝမ်းနည်းမှု။,Negative,2023-02-21 14:45:00, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14
 The state of corruption in our society is utterly disgusting. ,ကျွန်တော်တို့ လူ့အဖွဲ့အစည်းထဲက အကျင့်ပျက်ခြစားမှု အခြေအနေက လုံးဝကို စက်ဆုပ်စရာကောင်းတယ်။,Negative,2023-02-21 18:20:00, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18.0,35.0, UK         ,2023,2,21,18
 Overflowing happiness: welcoming a new family member!  ,ပျော်ရွှင်မှုတွေ ပြည့်လျှံနေခြင်း - မိသားစုဝင်အသစ်တစ်ယောက်ကို ကြိုဆိုခြင်း!,Positive,2023-02-22 10:00:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30.0,60.0, UK           ,2023,2,22,10
 Laughter is the key to joy—attending a stand-up comedy show. ,ရယ်မောခြင်းက ပျော်ရွှင်မှုရဲ့ သော့ချက်ပါပဲ—Stand-up comedy ပွဲတစ်ခု တက်ရောက်နေပါတယ်။,Positive,2023-02-22 19:30:00, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22.0,45.0, Canada    ,2023,2,22,19
 Sending love to all my followers on this beautiful day! ❤️ ,ဒီလှပတဲ့နေ့လေးမှာ ကျွန်တော့် follower အားလုံးဆီသို့ အချစ်တွေ ပို့သလိုက်ပါတယ်! ❤️,Positive,2023-02-23 08:30:00, LoveSender      , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,23,8
 Amused by the antics of my pet—it's pure amusement!      ,ကျွန်တော့် အိမ်မွေးတိရစ္ဆာန်လေးရဲ့ ချစ်စဖွယ် အပြုအမူလေးတွေကြောင့် ပျော်ရွှင်မိခြင်း—ဒါက စစ်မှန်တဲ့ ပျော်ရွှင်မှုပါပဲ!,Positive,2023-02-23 14:20:00, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18.0,35.0, UK           ,2023,2,23,14
 Enjoying every moment of this trip—pure enjoyment!      ,ဒီခရီးစဉ်ရဲ့ အခိုက်အတန့်တိုင်းကို ခံစားနေခြင်း—စစ်မှန်တဲ့ ပျော်ရွှင်မှု!,Positive,2023-02-23 19:45:00, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25.0,50.0, USA ,2023,2,23,19
 Admiring the dedication of volunteers at a local charity. ,ဒေသခံ ပရဟိတလုပ်ငန်းတစ်ခုက စေတနာ့ဝန်ထမ်းတွေရဲ့ စိတ်အားထက်သန်မှုကို လေးစားမိပါတယ်။,Positive,2023-02-24 11:30:00, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20.0,40.0, USA        ,2023,2,24,11
 Sending affectionate vibes to friends and family.        ,သူငယ်ချင်းတွေနဲ့ မိသားစုဆီသို့ ချစ်ခင်ကြင်နာတဲ့ ခံစားချက်တွေ ပို့သလိုက်ပါတယ်။,Positive,2023-02-24 16:00:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16
 Awe-struck by the beauty of the night sky.               ,ညကောင်းကင်ရဲ့ အလှတရားကို အံ့သြတကြီး ငေးမောမိပါတယ်။,Positive,2023-02-24 20:30:00, Stargazer       , Facebook , #Awe #StarryNight                        ,22.0,45.0, Australia ,2023,2,24,20
